"","sci_name","taxonid","kingdom","phylum","class","order","family","genus","main_common_name","authority","disp_dist_m"
"402","Talisia cerasina",176098779,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","SAPINDACEAE","Talisia",NA,"(Benth.) Radlk.",300
"403","Tamarindus indica",62020997,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Tamarindus",NA,"L.",1000
"404","Tectona grandis",62019830,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","LAMIACEAE","Tectona","Teak","L.f.",1000
"405","Tessaria integrifolia",150001759,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE","Tessaria",NA,"Ruiz &amp; Pav.",1000
"406","Tetrorchidium rubrivenium",144287165,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Tetrorchidium",NA,"Poepp.",1000
"407","Thevetia ahouai",146786564,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE","Thevetia",NA,"(L.) A.DC.",300
"408","Triplaris americana",149997105,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","POLYGONACEAE","Triplaris",NA,"L.",1000
"409","Triplaris cumingiana",149998765,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","POLYGONACEAE","Triplaris",NA,"Fisch. &amp; C.A.Mey.",1000
"410","Triplaris weigeltiana",61956822,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","POLYGONACEAE","Triplaris",NA,"(Rchb.) Kuntze",1000
"411","Triumfetta bogotensis",131182519,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE","Triumfetta",NA,"DC.",1000
"412","Triumfetta lappula",131182723,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE","Triumfetta",NA,"L.",1000
"413","Triumfetta semitriloba",101163071,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE","Triumfetta",NA,"Jacq.",1000
"414","Trixis inula",144255700,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE","Trixis",NA,"Crantz",1000
"415","Urena lobata",136663001,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE","Urena",NA,"L.",1000
"416","Urera baccifera",145347362,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","URTICACEAE","Urera",NA,"(L.) Gaudich. ex Wedd.",1000
"417","Urera caracasana",136778757,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","URTICACEAE","Urera",NA,"(Jacq.) Gaudich. ex Griseb.",1000
"418","Urera laciniata",149891251,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","URTICACEAE","Urera",NA,"Wedd.",1000
"419","Urera simplex",136778779,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","URTICACEAE","Urera",NA,"Wedd.",1000
"420","Urera verrucosa",136778797,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","URTICACEAE","Urera",NA,"(Liebm.) V.W.Steinm.",1000
"421","Vachellia farnesiana",18435792,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Vachellia",NA,"(L.) Wight &amp; Arn.",1000
"422","Vachellia macracantha",152908301,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Vachellia",NA,"(Humb. &amp; Bonpl. ex Willd.) Seigler &amp; Ebinger",1000
"423","Vachellia tortuosa",153759223,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Vachellia",NA,"(L.) Seigler &amp; Ebinger",1000
"424","Vallesia glabra",62543,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE","Vallesia","Pearlberry","(Cav.) Link",300
