"species","ssp","aoi_area","cur_area","fut_area","IoU"
"Saccopteryx.bilineata","ssp126",4420918.62035286,3871334.17317599,3283383.2231673,83.9342678985891
"Phyllostomus.elongatus","ssp585",4071001.29053998,2599221.23595732,2403487.94374979,65.2466780450822
"Sapajus.apella","ssp126",4009175.13725125,1175228.25215733,943225.184941411,63.4568555727802
"Myotis.riparius","ssp585",5026254.25174484,2981517.23305339,1155429.64372379,38.6350492192109
"Saccopteryx.bilineata","ssp585",4420918.62035286,3871334.17317599,3263849.56616288,83.3625631666697
"Platyrrhinus.dorsalis","ssp126",2652496.83269429,1634206.71997941,792433.66256237,46.9871502561739
"Sapajus.apella","ssp585",4009175.13725125,1175228.25215733,935951.177313626,58.0132413512332
"Saguinus.oedipus","ssp126",266287.495236727,109720.954187572,51125.0651171207,38.863879755581
"Saguinus.oedipus","ssp585",266287.495236727,109720.954187572,54371.8823286295,40.3008435650743
"Noctilio.albiventris","ssp126",4588068.33224438,4244084.37791663,3880695.65926182,87.9419439868429
"Platyrrhinus.dorsalis","ssp585",2652496.83269429,1634206.71997941,778071.338892639,46.1630761630056
"Neacomys.spinosus","ssp126",1805065.98258613,1903965.16959065,689411.974990845,35.0054799665536
"Sotalia.fluviatilis","ssp126",1995036.60069096,295790.657408237,398723.222164631,11.8753298193105
"Mus.musculus","ssp126",5894879.31494034,2938475.3387934,1835544.46418774,60.1384553424125
"Sciurus.ignitus","ssp126",1252363.26738255,1332288.51028204,666987.990994692,45.3258595280107
"Neacomys.spinosus","ssp585",1805065.98258613,1903965.16959065,932176.370786607,47.5330229371283
"Sotalia.fluviatilis","ssp585",1995036.60069096,295790.657408237,534397.126020908,13.5026846002632
"Noctilio.albiventris","ssp585",4588068.33224438,4244084.37791663,3893048.51581293,86.6766077714335
"Sciurus.ignitus","ssp585",1252363.26738255,1332288.51028204,920129.097342908,62.1350688334187
"Oecomys.trinitatis","ssp126",1894524.03613169,1022619.40640283,827494.286192358,72.7896323364231
"Plecturocebus.caquetensis","ssp126",21305480.2271355,14258.0457171202,22989.4025161862,60.9579593014664
"Oecomys.trinitatis","ssp585",1894524.03613169,1022619.40640283,812615.805428028,70.9789083855377
"Odocoileus.cariacou","ssp126",825040.15977552,663437.13932097,539905.218827009,66.6648103938655
"Plecturocebus.caquetensis","ssp585",21305480.2271355,14258.0457171202,39973.4666186571,35.2244557992021
"Otaria.byronia","ssp126",592762.310249403,40469.2895157337,21027.2921463251,51.7430847454475
"Speothos.venaticus","ssp126",2065455.27980005,1539926.16712034,2200719.45385212,54.804520694224
"Otaria.byronia","ssp585",592762.310249403,40469.2895157337,17629.8641026616,43.3568597996337
"Sturnira.ludovici","ssp126",4552496.11171625,1690329.60063314,1163069.96443433,68.1017643617165
"Proechimys.brevicauda","ssp126",1864698.1411304,1441989.12912613,593394.985545397,35.8204601790548
"Odocoileus.cariacou","ssp585",825040.15977552,663437.13932097,509549.993131399,61.7341188593932
"Philander.andersoni","ssp126",1408566.23478569,629500.507423997,340510.145853043,36.1695927302397
"Speothos.venaticus","ssp585",2065455.27980005,1539926.16712034,2248633.49356824,51.96059178178
"Proechimys.brevicauda","ssp585",1864698.1411304,1441989.12912613,871066.686192334,52.9475306273654
"Olallamys.albicaudus","ssp126",509020.34004693,293094.778152704,282122.100738764,72.8916394799105
"Philander.andersoni","ssp585",1408566.23478569,629500.507423997,402660.525925159,42.3733116275321
"Olallamys.albicaudus","ssp585",509020.34004693,293094.778152704,304817.560737193,79.2167045438473
"Sturnira.ludovici","ssp585",4552496.11171625,1690329.60063314,1042618.13379073,61.0986087818594
"Mus.musculus","ssp585",5894879.31494034,2938475.3387934,2038044.28990221,65.9945401889331
"Sturnira.bidens","ssp126",1704145.58093928,616590.761662126,386066.267638683,61.8118649583796
"Sturnira.bidens","ssp585",1704145.58093928,616590.761662126,385021.065443993,61.643828980475
"Sylvilagus.floridanus","ssp126",932153.686911043,528680.645640433,416053.407111883,66.5696987170568
"Puma.concolor","ssp126",7552788.76779216,3376708.19809341,2971522.45078641,80.1567396942639
"Sturnira.magna","ssp126",1659194.98204795,1527817.68811357,703811.717597723,43.8086383126472
"Phyllostomus.hastatus","ssp126",5247965.00912586,4584158.37380159,3978635.36759633,84.3495896800239
